date,fiscal_year,month,dist_code,district,documents_registered,revenue,estamp_challans
2021-12-01,2021,12,8,Nalgonda,23516,5237402,19705
2022-01-01,2022,1,8,Nalgonda,38072,2627771,19324
2022-02-01,2022,2,8,Nalgonda,38329,1398492,21339
2022-03-01,2022,3,8,Nalgonda,18378,8786717,23514
2022-04-01,2022,4,8,Nalgonda,19236,3566925,10996
2022-05-01,2022,5,8,Nalgonda,28485,7460621,13351
2022-06-01,2022,6,8,Nalgonda,43760,6197590,17128
2022-07-01,2022,7,8,Nalgonda,33352,8800579,13056
2022-08-01,2022,8,8,Nalgonda,12644,5919955,10392
2022-09-01,2022,9,8,Nalgonda,17904,3338656,19084
2022-10-01,2022,10,8,Nalgonda,14435,5972551,18292
2022-11-01,2022,11,8,Nalgonda,17750,4890649,21121
2022-12-01,2022,12,8,Nalgonda,19420,4476522,7440
2023-01-01,2023,1,8,Nalgonda,16746,6271327,9530
2023-02-01,2023,2,8,Nalgonda,27608,2124993,5389
2023-03-01,2023,3,8,Nalgonda,19972,7797883,7191
2023-04-01,2023,4,8,Nalgonda,16724,8331623,23891
2023-05-01,2023,5,8,Nalgonda,22611,7304158,14864
2023-06-01,2023,6,8,Nalgonda,48555,2585714,5198
2023-07-01,2023,7,8,Nalgonda,26819,6526355,17056
2023-08-01,2023,8,8,Nalgonda,20030,8841549,18450
2023-09-01,2023,9,8,Nalgonda,40384,2302747,8799
2023-10-01,2023,10,8,Nalgonda,24340,8593831,13321
2023-11-01,2023,11,8,Nalgonda,27646,4662192,19161
2023-12-01,2023,12,8,Nalgonda,19756,5478839,18830
